------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|       7  |      0  |      1.4746  |     0.6797  |   0.6399  |               |              0.3853  |
|          |      1  |      1.2686  |     0.8057  |   0.7253  |               |              0.7633  |
|          |      2  |      1.2129  |     0.8271  |   0.7369  |               |              1.1406  |
|          |      3  |      1.1816  |     0.8535  |   0.8206  |               |              1.4874  |
|          |      4  |      1.1074  |     0.8896  |   0.8400  |               |              1.8339  |
|          |      5  |      1.1084  |     0.8828  |   0.8605  |               |              2.1809  |
|          |      6  |      1.0439  |     0.9199  |   0.8898  |               |              2.5277  |
|          |      7  |      1.0264  |     0.9268  |   0.9048  |               |              2.8742  |
|          |      8  |      0.9800  |     0.9512  |   0.9125  |               |              3.2206  |
|          |      9  |      0.9448  |     0.9775  |   0.9335  |               |              3.5391  |
|          |   eval  |      0.9448  |     0.9775  |   0.9335  |       0.9412  |              3.6882  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4365  |     0.7031  |   0.6700  |               |              0.3850  |
|          |      1  |      1.2666  |     0.8115  |   0.6751  |               |              0.7630  |
|          |      2  |      1.1963  |     0.8408  |   0.7930  |               |              1.1401  |
|          |      3  |      1.1426  |     0.8623  |   0.7605  |               |              1.4870  |
|          |      4  |      1.1387  |     0.8672  |   0.8523  |               |              1.8331  |
|          |      5  |      1.0762  |     0.9033  |   0.8369  |               |              2.1797  |
|          |      6  |      1.0381  |     0.9287  |   0.8944  |               |              2.5260  |
|          |      7  |      1.0234  |     0.9287  |   0.9014  |               |              2.8727  |
|          |      8  |      0.9814  |     0.9590  |   0.9222  |               |              3.2188  |
|          |      9  |      0.9429  |     0.9795  |   0.9328  |               |              3.5373  |
|          |   eval  |      0.9429  |     0.9795  |   0.9328  |       0.9400  |              3.6864  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4443  |     0.6963  |   0.6671  |               |              0.3851  |
|          |      1  |      1.2471  |     0.8164  |   0.7655  |               |              0.7630  |
|          |      2  |      1.2139  |     0.8281  |   0.7727  |               |              1.1401  |
|          |      3  |      1.1729  |     0.8506  |   0.7820  |               |              1.4869  |
|          |      4  |      1.1201  |     0.8789  |   0.8269  |               |              1.8332  |
|          |      5  |      1.1016  |     0.8799  |   0.8310  |               |              2.1800  |
|          |      6  |      1.0459  |     0.9189  |   0.8717  |               |              2.5261  |
|          |      7  |      0.9966  |     0.9443  |   0.8971  |               |              2.8727  |
|          |      8  |      0.9814  |     0.9590  |   0.9207  |               |              3.2190  |
|          |      9  |      0.9395  |     0.9795  |   0.9314  |               |              3.5376  |
|          |   eval  |      0.9395  |     0.9795  |   0.9314  |       0.9388  |              3.6870  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.4521  |     0.6885  |   0.6813  |               |              0.3850  |
|          |      1  |      1.2402  |     0.8291  |   0.6991  |               |              0.7631  |
|          |      2  |      1.2090  |     0.8281  |   0.8126  |               |              1.1405  |
|          |      3  |      1.1553  |     0.8652  |   0.8246  |               |              1.4875  |
|          |      4  |      1.1074  |     0.8896  |   0.8631  |               |              1.8338  |
|          |      5  |      1.0811  |     0.9062  |   0.8666  |               |              2.1805  |
|          |      6  |      1.0391  |     0.9209  |   0.8873  |               |              2.5269  |
|          |      7  |      1.0244  |     0.9229  |   0.8980  |               |              2.8738  |
|          |      8  |      0.9619  |     0.9648  |   0.9248  |               |              3.2202  |
|          |      9  |      0.9341  |     0.9814  |   0.9315  |               |              3.5389  |
|          |   eval  |      0.9341  |     0.9814  |   0.9315  |       0.9391  |              3.6882  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.4248  |     0.7041  |   0.6849  |               |              0.3854  |
|          |      1  |      1.2637  |     0.8027  |   0.6699  |               |              0.7634  |
|          |      2  |      1.1738  |     0.8555  |   0.8347  |               |              1.1406  |
|          |      3  |      1.1670  |     0.8584  |   0.7891  |               |              1.4875  |
|          |      4  |      1.1553  |     0.8623  |   0.8254  |               |              1.8341  |
|          |      5  |      1.0850  |     0.9072  |   0.8679  |               |              2.1810  |
|          |      6  |      1.0508  |     0.9150  |   0.8856  |               |              2.5274  |
|          |      7  |      1.0088  |     0.9443  |   0.8894  |               |              2.8743  |
|          |      8  |      0.9746  |     0.9609  |   0.9237  |               |              3.2209  |
|          |      9  |      0.9453  |     0.9766  |   0.9303  |               |              3.5397  |
|          |   eval  |      0.9453  |     0.9766  |   0.9303  |       0.9405  |              3.6890  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.3926  |     0.7363  |   0.6709  |               |              0.3853  |
|          |      1  |      1.3037  |     0.7764  |   0.7365  |               |              0.7633  |
|          |      2  |      1.2139  |     0.8291  |   0.8071  |               |              1.1408  |
|          |      3  |      1.1406  |     0.8691  |   0.8044  |               |              1.4879  |
|          |      4  |      1.1328  |     0.8809  |   0.8429  |               |              1.8343  |
|          |      5  |      1.0791  |     0.9111  |   0.8599  |               |              2.1811  |
|          |      6  |      1.0479  |     0.9111  |   0.8803  |               |              2.5276  |
|          |      7  |      1.0283  |     0.9277  |   0.8971  |               |              2.8746  |
|          |      8  |      0.9868  |     0.9492  |   0.9198  |               |              3.2209  |
|          |      9  |      0.9453  |     0.9736  |   0.9329  |               |              3.5397  |
|          |   eval  |      0.9453  |     0.9736  |   0.9329  |       0.9403  |              3.6889  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.4258  |     0.7246  |   0.6784  |               |              0.3851  |
|          |      1  |      1.2793  |     0.7930  |   0.7026  |               |              0.7633  |
|          |      2  |      1.1943  |     0.8330  |   0.8216  |               |              1.1406  |
|          |      3  |      1.1553  |     0.8672  |   0.7833  |               |              1.4875  |
|          |      4  |      1.1416  |     0.8613  |   0.8203  |               |              1.8340  |
|          |      5  |      1.0889  |     0.8975  |   0.8467  |               |              2.1809  |
|          |      6  |      1.0566  |     0.9209  |   0.8869  |               |              2.5273  |
|          |      7  |      1.0205  |     0.9355  |   0.8782  |               |              2.8741  |
|          |      8  |      0.9702  |     0.9648  |   0.9255  |               |              3.2206  |
|          |      9  |      0.9453  |     0.9785  |   0.9329  |               |              3.5393  |
|          |   eval  |      0.9453  |     0.9785  |   0.9329  |       0.9402  |              3.6886  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.4316  |     0.7080  |   0.5855  |               |              0.3853  |
|          |      1  |      1.2529  |     0.8066  |   0.5728  |               |              0.7633  |
|          |      2  |      1.1895  |     0.8496  |   0.8023  |               |              1.1408  |
|          |      3  |      1.1543  |     0.8662  |   0.8378  |               |              1.4878  |
|          |      4  |      1.1221  |     0.8848  |   0.8266  |               |              1.8342  |
|          |      5  |      1.0957  |     0.8975  |   0.8662  |               |              2.1810  |
|          |      6  |      1.0586  |     0.9131  |   0.8797  |               |              2.5277  |
|          |      7  |      1.0264  |     0.9307  |   0.8982  |               |              2.8746  |
|          |      8  |      0.9683  |     0.9688  |   0.9231  |               |              3.2209  |
|          |      9  |      0.9263  |     0.9902  |   0.9305  |               |              3.5396  |
|          |   eval  |      0.9263  |     0.9902  |   0.9305  |       0.9406  |              3.6889  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.4658  |     0.6748  |   0.5015  |               |              0.3852  |
|          |      1  |      1.2852  |     0.7891  |   0.7627  |               |              0.7634  |
|          |      2  |      1.1846  |     0.8516  |   0.7990  |               |              1.1407  |
|          |      3  |      1.1758  |     0.8447  |   0.7489  |               |              1.4876  |
|          |      4  |      1.1191  |     0.8770  |   0.8457  |               |              1.8341  |
|          |      5  |      1.0889  |     0.8984  |   0.8534  |               |              2.1810  |
|          |      6  |      1.0459  |     0.9238  |   0.8885  |               |              2.5275  |
|          |      7  |      1.0137  |     0.9434  |   0.9004  |               |              2.8743  |
|          |      8  |      0.9849  |     0.9551  |   0.9216  |               |              3.2209  |
|          |      9  |      0.9399  |     0.9766  |   0.9313  |               |              3.5397  |
|          |   eval  |      0.9399  |     0.9766  |   0.9313  |       0.9399  |              3.6891  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.4287  |     0.7080  |   0.6459  |               |              0.3855  |
|          |      1  |      1.2314  |     0.8281  |   0.7920  |               |              0.7635  |
|          |      2  |      1.1904  |     0.8545  |   0.7838  |               |              1.1410  |
|          |      3  |      1.1807  |     0.8447  |   0.7798  |               |              1.4882  |
|          |      4  |      1.1123  |     0.8799  |   0.8568  |               |              1.8347  |
|          |      5  |      1.0996  |     0.8799  |   0.8660  |               |              2.1815  |
|          |      6  |      1.0596  |     0.9121  |   0.8862  |               |              2.5280  |
|          |      7  |      1.0293  |     0.9316  |   0.8950  |               |              2.8750  |
|          |      8  |      0.9678  |     0.9668  |   0.9249  |               |              3.2213  |
|          |      9  |      0.9336  |     0.9824  |   0.9304  |               |              3.5399  |
|          |   eval  |      0.9336  |     0.9824  |   0.9304  |       0.9393  |              3.6892  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.4326  |     0.7031  |   0.6754  |               |              0.3855  |
|          |      1  |      1.2402  |     0.8203  |   0.7604  |               |              0.7638  |
