------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4434  |     0.6846  |   0.6491  |               |              7.2502  |
|          |      1  |      1.2656  |     0.8086  |   0.6756  |               |              7.6295  |
|          |      2  |      1.2158  |     0.8242  |   0.7560  |               |              8.0075  |
|          |      3  |      1.1475  |     0.8740  |   0.7990  |               |              8.3549  |
|          |      4  |      1.1250  |     0.8760  |   0.8490  |               |              8.7018  |
|          |      5  |      1.1074  |     0.8809  |   0.8648  |               |              9.0488  |
|          |      6  |      1.0371  |     0.9277  |   0.8735  |               |              9.3958  |
|          |      7  |      1.0176  |     0.9346  |   0.8935  |               |              9.7429  |
|          |      8  |      0.9805  |     0.9561  |   0.9180  |               |             10.0898  |
|          |      9  |      0.9424  |     0.9746  |   0.9305  |               |             10.4088  |
|          |   eval  |      0.9424  |     0.9746  |   0.9305  |       0.9385  |             10.5579  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.3994  |     0.7275  |   0.6937  |               |              0.3856  |
|          |      1  |      1.2783  |     0.7910  |   0.7328  |               |              0.7643  |
|          |      2  |      1.2061  |     0.8262  |   0.8032  |               |              1.1420  |
|          |      3  |      1.1533  |     0.8682  |   0.8339  |               |              1.4900  |
|          |      4  |      1.1270  |     0.8828  |   0.8603  |               |              1.8372  |
|          |      5  |      1.0967  |     0.8848  |   0.8682  |               |              2.1849  |
|          |      6  |      1.0605  |     0.9043  |   0.8835  |               |              2.5321  |
|          |      7  |      1.0186  |     0.9307  |   0.9010  |               |              2.8798  |
|          |      8  |      0.9692  |     0.9609  |   0.9197  |               |              3.2271  |
|          |      9  |      0.9453  |     0.9775  |   0.9317  |               |              3.5466  |
|          |   eval  |      0.9453  |     0.9775  |   0.9317  |       0.9404  |              3.6958  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4170  |     0.7119  |   0.6521  |               |              0.3854  |
|          |      1  |      1.2529  |     0.8135  |   0.8084  |               |              0.7639  |
|          |      2  |      1.1963  |     0.8486  |   0.7903  |               |              1.1419  |
|          |      3  |      1.1660  |     0.8438  |   0.8408  |               |              1.4897  |
|          |      4  |      1.1104  |     0.8896  |   0.8596  |               |              1.8370  |
|          |      5  |      1.0908  |     0.8896  |   0.8680  |               |              2.1847  |
|          |      6  |      1.0342  |     0.9258  |   0.8856  |               |              2.5320  |
|          |      7  |      1.0020  |     0.9492  |   0.8848  |               |              2.8797  |
|          |      8  |      0.9800  |     0.9580  |   0.9214  |               |              3.2270  |
|          |      9  |      0.9458  |     0.9766  |   0.9319  |               |              3.5465  |
|          |   eval  |      0.9458  |     0.9766  |   0.9319  |       0.9414  |              3.6957  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4482  |     0.6924  |   0.6129  |               |              0.3858  |
|          |      1  |      1.2646  |     0.8115  |   0.7280  |               |              0.7644  |
|          |      2  |      1.1895  |     0.8506  |   0.7613  |               |              1.1423  |
|          |      3  |      1.1572  |     0.8691  |   0.7517  |               |              1.4901  |
|          |      4  |      1.1504  |     0.8682  |   0.8502  |               |              1.8375  |
|          |      5  |      1.0820  |     0.8994  |   0.8444  |               |              2.1853  |
|          |      6  |      1.0449  |     0.9258  |   0.8958  |               |              2.5325  |
|          |      7  |      0.9995  |     0.9443  |   0.8932  |               |              2.8802  |
|          |      8  |      0.9570  |     0.9697  |   0.9188  |               |              3.2275  |
|          |      9  |      0.9473  |     0.9785  |   0.9320  |               |              3.5470  |
|          |   eval  |      0.9473  |     0.9785  |   0.9320  |       0.9397  |              3.6962  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4209  |     0.7148  |   0.6386  |               |              0.3854  |
|          |      1  |      1.2656  |     0.8037  |   0.7223  |               |              0.7640  |
|          |      2  |      1.1865  |     0.8389  |   0.7854  |               |              1.1419  |
