------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4668  |     0.6660  |   0.6363  |               |              7.2434  |
|          |      1  |      1.2783  |     0.8066  |   0.7766  |               |              7.6228  |
|          |      2  |      1.2100  |     0.8330  |   0.7568  |               |              8.0009  |
|          |      3  |      1.1592  |     0.8594  |   0.8359  |               |              8.3483  |
|          |      4  |      1.0938  |     0.9023  |   0.8448  |               |              8.6954  |
|          |      5  |      1.0820  |     0.9043  |   0.8528  |               |              9.0425  |
|          |      6  |      1.0605  |     0.9150  |   0.8580  |               |              9.3897  |
|          |      7  |      1.0293  |     0.9229  |   0.8939  |               |              9.7369  |
|          |      8  |      0.9570  |     0.9668  |   0.9229  |               |             10.0839  |
|          |      9  |      0.9355  |     0.9824  |   0.9325  |               |             10.4030  |
|          |   eval  |      0.9355  |     0.9824  |   0.9325  |       0.9407  |             10.5522  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4375  |     0.7031  |   0.5622  |               |              0.3858  |
|          |      1  |      1.2295  |     0.8213  |   0.7593  |               |              0.7646  |
|          |      2  |      1.2021  |     0.8330  |   0.7363  |               |              1.1424  |
|          |      3  |      1.1387  |     0.8779  |   0.7892  |               |              1.4903  |
|          |      4  |      1.1299  |     0.8809  |   0.8451  |               |              1.8376  |
|          |      5  |      1.0723  |     0.9004  |   0.8663  |               |              2.1852  |
|          |      6  |      1.0557  |     0.9180  |   0.8782  |               |              2.5326  |
|          |      7  |      1.0312  |     0.9248  |   0.9069  |               |              2.8803  |
|          |      8  |      0.9731  |     0.9570  |   0.9231  |               |              3.2275  |
|          |      9  |      0.9360  |     0.9775  |   0.9315  |               |              3.5471  |
|          |   eval  |      0.9360  |     0.9775  |   0.9315  |       0.9406  |              3.6962  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4014  |     0.7275  |   0.7156  |               |              0.3855  |
|          |      1  |      1.2490  |     0.8232  |   0.7615  |               |              0.7641  |
|          |      2  |      1.2236  |     0.8145  |   0.6560  |               |              1.1421  |
|          |      3  |      1.1650  |     0.8535  |   0.7688  |               |              1.4899  |
|          |      4  |      1.1260  |     0.8779  |   0.8229  |               |              1.8371  |
|          |      5  |      1.1143  |     0.8818  |   0.8638  |               |              2.1848  |
|          |      6  |      1.0664  |     0.9033  |   0.8750  |               |              2.5321  |
|          |      7  |      1.0029  |     0.9512  |   0.9024  |               |              2.8798  |
|          |      8  |      0.9546  |     0.9678  |   0.9218  |               |              3.2270  |
|          |      9  |      0.9473  |     0.9707  |   0.9324  |               |              3.5464  |
|          |   eval  |      0.9473  |     0.9707  |   0.9324  |       0.9385  |              3.6956  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4043  |     0.7100  |   0.6974  |               |              0.3857  |
|          |      1  |      1.2383  |     0.8184  |   0.7872  |               |              0.7643  |
|          |      2  |      1.2070  |     0.8350  |   0.7476  |               |              1.1423  |
|          |      3  |      1.1602  |     0.8447  |   0.8268  |               |              1.4901  |
|          |      4  |      1.1104  |     0.8896  |   0.8518  |               |              1.8373  |
|          |      5  |      1.0908  |     0.8887  |   0.8611  |               |              2.1851  |
|          |      6  |      1.0410  |     0.9209  |   0.8715  |               |              2.5323  |
|          |      7  |      1.0273  |     0.9346  |   0.9055  |               |              2.8800  |
|          |      8  |      0.9658  |     0.9648  |   0.9245  |               |              3.2272  |
|          |      9  |      0.9341  |     0.9824  |   0.9354  |               |              3.5467  |
|          |   eval  |      0.9341  |     0.9824  |   0.9354  |       0.9426  |              3.6959  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4131  |     0.7148  |   0.6906  |               |              0.3887  |
|          |      1  |      1.2412  |     0.8330  |   0.7918  |               |              0.7674  |
|          |      2  |      1.2090  |     0.8291  |   0.7723  |               |              1.1454  |
|          |      3  |      1.1357  |     0.8672  |   0.7754  |               |              1.4933  |
