------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4268  |     0.7129  |   0.6702  |               |              7.2717  |
|          |      1  |      1.2939  |     0.7930  |   0.7599  |               |              7.6747  |
|          |      2  |      1.1904  |     0.8496  |   0.8179  |               |              8.0524  |
|          |      3  |      1.1914  |     0.8379  |   0.6831  |               |              8.3995  |
|          |      4  |      1.1084  |     0.8916  |   0.8348  |               |              8.7461  |
|          |      5  |      1.0859  |     0.8994  |   0.8611  |               |              9.0931  |
|          |      6  |      1.0322  |     0.9199  |   0.8836  |               |              9.4399  |
|          |      7  |      1.0195  |     0.9316  |   0.8980  |               |              9.7869  |
|          |      8  |      0.9707  |     0.9619  |   0.9180  |               |             10.1334  |
|          |      9  |      0.9448  |     0.9756  |   0.9326  |               |             10.4522  |
|          |   eval  |      0.9448  |     0.9756  |   0.9326  |       0.9396  |             10.6011  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4004  |     0.7305  |   0.7330  |               |              0.3854  |
|          |      1  |      1.2607  |     0.8076  |   0.7997  |               |              0.7638  |
|          |      2  |      1.1807  |     0.8574  |   0.8167  |               |              1.1413  |
|          |      3  |      1.1592  |     0.8535  |   0.8297  |               |              1.4886  |
|          |      4  |      1.1221  |     0.8857  |   0.8712  |               |              1.8355  |
|          |      5  |      1.0859  |     0.8916  |   0.8447  |               |              2.1828  |
|          |      6  |      1.0410  |     0.9277  |   0.8857  |               |              2.5295  |
|          |      7  |      1.0303  |     0.9268  |   0.9070  |               |              2.8767  |
|          |      8  |      0.9585  |     0.9717  |   0.9225  |               |              3.2237  |
|          |      9  |      0.9487  |     0.9746  |   0.9324  |               |              3.5428  |
|          |   eval  |      0.9487  |     0.9746  |   0.9324  |       0.9394  |              3.6919  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4473  |     0.6885  |   0.6458  |               |              0.3854  |
|          |      1  |      1.2490  |     0.8154  |   0.7950  |               |              0.7637  |
|          |      2  |      1.1719  |     0.8613  |   0.7864  |               |              1.1413  |
|          |      3  |      1.1133  |     0.8916  |   0.7647  |               |              1.4888  |
|          |      4  |      1.1318  |     0.8701  |   0.8573  |               |              1.8356  |
|          |      5  |      1.0928  |     0.8877  |   0.8514  |               |              2.1828  |
|          |      6  |      1.0508  |     0.9150  |   0.8993  |               |              2.5297  |
|          |      7  |      1.0156  |     0.9404  |   0.8961  |               |              2.8770  |
|          |      8  |      0.9634  |     0.9697  |   0.9229  |               |              3.2237  |
|          |      9  |      0.9365  |     0.9746  |   0.9330  |               |              3.5427  |
|          |   eval  |      0.9365  |     0.9746  |   0.9330  |       0.9413  |              3.6918  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4258  |     0.6973  |   0.6657  |               |              0.3853  |
|          |      1  |      1.2920  |     0.8057  |   0.7484  |               |              0.7637  |
|          |      2  |      1.2461  |     0.8008  |   0.7241  |               |              1.1413  |
|          |      3  |      1.1514  |     0.8652  |   0.8257  |               |              1.4887  |
|          |      4  |      1.1260  |     0.8760  |   0.8677  |               |              1.8355  |
|          |      5  |      1.1045  |     0.8828  |   0.8442  |               |              2.1829  |
|          |      6  |      1.0430  |     0.9277  |   0.8786  |               |              2.5296  |
|          |      7  |      1.0254  |     0.9336  |   0.8998  |               |              2.8767  |
|          |      8  |      0.9575  |     0.9678  |   0.9255  |               |              3.2236  |
|          |      9  |      0.9419  |     0.9795  |   0.9346  |               |              3.5427  |
|          |   eval  |      0.9419  |     0.9795  |   0.9346  |       0.9413  |              3.6919  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4502  |     0.6885  |   0.6880  |               |              0.3853  |
|          |      1  |      1.2998  |     0.7852  |   0.7738  |               |              0.7637  |
|          |      2  |      1.2158  |     0.8281  |   0.7618  |               |              1.1414  |
|          |      3  |      1.1562  |     0.8623  |   0.8130  |               |              1.4889  |
|          |      4  |      1.1396  |     0.8721  |   0.8637  |               |              1.8357  |
|          |      5  |      1.0781  |     0.9043  |   0.8748  |               |              2.1828  |
|          |      6  |      1.0527  |     0.9072  |   0.8741  |               |              2.5297  |
|          |      7  |      1.0020  |     0.9453  |   0.8996  |               |              2.8769  |
|          |      8  |      0.9600  |     0.9727  |   0.9203  |               |              3.2236  |
|          |      9  |      0.9438  |     0.9756  |   0.9331  |               |              3.5426  |
|          |   eval  |      0.9438  |     0.9756  |   0.9331  |       0.9429  |              3.6918  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4219  |     0.7100  |   0.6962  |               |              0.3854  |
|          |      1  |      1.2734  |     0.8008  |   0.7433  |               |              0.7638  |
|          |      2  |      1.2070  |     0.8242  |   0.7832  |               |              1.1413  |
|          |      3  |      1.1787  |     0.8379  |   0.8307  |               |              1.4887  |
|          |      4  |      1.1221  |     0.8730  |   0.8438  |               |              1.8357  |
|          |      5  |      1.0859  |     0.8896  |   0.8406  |               |              2.1830  |
|          |      6  |      1.0342  |     0.9229  |   0.8905  |               |              2.5298  |
|          |      7  |      1.0381  |     0.9121  |   0.8999  |               |              2.8769  |
|          |      8  |      0.9648  |     0.9697  |   0.9249  |               |              3.2237  |
|          |      9  |      0.9385  |     0.9814  |   0.9306  |               |              3.5428  |
|          |   eval  |      0.9385  |     0.9814  |   0.9306  |       0.9392  |              3.6921  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.4072  |     0.7236  |   0.6663  |               |              0.3852  |
|          |      1  |      1.3135  |     0.7754  |   0.6183  |               |              0.7635  |
|          |      2  |      1.2119  |     0.8301  |   0.7286  |               |              1.1411  |
|          |      3  |      1.1357  |     0.8789  |   0.8177  |               |              1.4886  |
|          |      4  |      1.1260  |     0.8701  |   0.8493  |               |              1.8354  |
|          |      5  |      1.0850  |     0.8975  |   0.8601  |               |              2.1825  |
|          |      6  |      1.0400  |     0.9248  |   0.8961  |               |              2.5294  |
|          |      7  |      1.0332  |     0.9307  |   0.9082  |               |              2.8766  |
|          |      8  |      0.9697  |     0.9629  |   0.9232  |               |              3.2233  |
|          |      9  |      0.9385  |     0.9795  |   0.9340  |               |              3.5423  |
|          |   eval  |      0.9385  |     0.9795  |   0.9340  |       0.9416  |              3.6916  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.4736  |     0.6855  |   0.5822  |               |              0.3852  |
|          |      1  |      1.2744  |     0.7920  |   0.7403  |               |              0.7636  |
|          |      2  |      1.1924  |     0.8389  |   0.7953  |               |              1.1411  |
|          |      3  |      1.1396  |     0.8633  |   0.8398  |               |              1.4884  |
|          |      4  |      1.1104  |     0.8857  |   0.8440  |               |              1.8354  |
|          |      5  |      1.0908  |     0.8945  |   0.8680  |               |              2.1827  |
|          |      6  |      1.0488  |     0.9170  |   0.8976  |               |              2.5294  |
|          |      7  |      1.0391  |     0.9238  |   0.8913  |               |              2.8764  |
|          |      8  |      0.9634  |     0.9678  |   0.9179  |               |              3.2232  |
|          |      9  |      0.9463  |     0.9727  |   0.9303  |               |              3.5423  |
|          |   eval  |      0.9463  |     0.9727  |   0.9303  |       0.9394  |              3.6915  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4297  |     0.7197  |   0.6809  |               |              0.3852  |
|          |      1  |      1.2705  |     0.8105  |   0.6711  |               |              0.7634  |
|          |      2  |      1.1895  |     0.8506  |   0.8110  |               |              1.1410  |
|          |      3  |      1.1475  |     0.8584  |   0.7923  |               |              1.4884  |
|          |      4  |      1.1328  |     0.8701  |   0.7876  |               |              1.8352  |
|          |      5  |      1.1143  |     0.8740  |   0.8457  |               |              2.1825  |
|          |      6  |      1.0420  |     0.9102  |   0.8912  |               |              2.5294  |
|          |      7  |      1.0205  |     0.9375  |   0.9026  |               |              2.8766  |
|          |      8  |      0.9653  |     0.9678  |   0.9201  |               |              3.2233  |
|          |      9  |      0.9473  |     0.9775  |   0.9317  |               |              3.5423  |
|          |   eval  |      0.9473  |     0.9775  |   0.9317  |       0.9364  |              3.6915  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4424  |     0.6963  |   0.5558  |               |              0.3852  |
|          |      1  |      1.2295  |     0.8340  |   0.7732  |               |              0.7635  |
|          |      2  |      1.2129  |     0.8320  |   0.7360  |               |              1.1409  |
|          |      3  |      1.1680  |     0.8545  |   0.8201  |               |              1.4883  |
|          |      4  |      1.1436  |     0.8643  |   0.8559  |               |              1.8353  |
|          |      5  |      1.1074  |     0.8828  |   0.8462  |               |              2.1826  |
|          |      6  |      1.0488  |     0.9131  |   0.8610  |               |              2.5293  |
|          |      7  |      1.0293  |     0.9248  |   0.9014  |               |              2.8764  |
|          |      8  |      0.9712  |     0.9580  |   0.9210  |               |              3.2233  |
|          |      9  |      0.9399  |     0.9785  |   0.9334  |               |              3.5425  |
|          |   eval  |      0.9399  |     0.9785  |   0.9334  |       0.9402  |              3.6917  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.4463  |     0.7002  |   0.7014  |               |              0.3904  |
|          |      1  |      1.2451  |     0.8184  |   0.7885  |               |              0.7686  |
|          |      2  |      1.1875  |     0.8545  |   0.7974  |               |              1.1462  |
|          |      3  |      1.1416  |     0.8662  |   0.8003  |               |              1.4936  |
|          |      4  |      1.1191  |     0.8779  |   0.8550  |               |              1.8403  |
|          |      5  |      1.1064  |     0.8896  |   0.8676  |               |              2.1874  |
|          |      6  |      1.0410  |     0.9219  |   0.8770  |               |              2.5343  |
|          |      7  |      1.0186  |     0.9307  |   0.8998  |               |              2.8817  |
|          |      8  |      0.9790  |     0.9521  |   0.9241  |               |              3.2283  |
|          |      9  |      0.9390  |     0.9814  |   0.9338  |               |              3.5473  |
|          |   eval  |      0.9390  |     0.9814  |   0.9338  |       0.9417  |              3.6965  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.4189  |     0.6855  |   0.7118  |               |              0.3854  |
|          |      1  |      1.2783  |     0.7949  |   0.7702  |               |              0.7637  |
|          |      2  |      1.1670  |     0.8643  |   0.8047  |               |              1.1413  |
|          |      3  |      1.1641  |     0.8662  |   0.7117  |               |              1.4887  |
|          |      4  |      1.1025  |     0.8818  |   0.8552  |               |              1.8356  |
|          |      5  |      1.0820  |     0.9102  |   0.8610  |               |              2.1828  |
|          |      6  |      1.0537  |     0.9189  |   0.8795  |               |              2.5294  |
|          |      7  |      1.0391  |     0.9150  |   0.8982  |               |              2.8765  |
|          |      8  |      0.9751  |     0.9570  |   0.9221  |               |              3.2233  |
|          |      9  |      0.9512  |     0.9746  |   0.9340  |               |              3.5424  |
|          |   eval  |      0.9512  |     0.9746  |   0.9340  |       0.9420  |              3.6916  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.4404  |     0.7041  |   0.6546  |               |              0.3853  |
|          |      1  |      1.2617  |     0.8105  |   0.7705  |               |              0.7636  |
|          |      2  |      1.2158  |     0.8320  |   0.7701  |               |              1.1412  |
|          |      3  |      1.1377  |     0.8721  |   0.7974  |               |              1.4886  |
|          |      4  |      1.1260  |     0.8623  |   0.8552  |               |              1.8352  |
|          |      5  |      1.1084  |     0.8760  |   0.8770  |               |              2.1824  |
|          |      6  |      1.0254  |     0.9355  |   0.8874  |               |              2.5291  |
|          |      7  |      1.0186  |     0.9307  |   0.9056  |               |              2.8763  |
|          |      8  |      0.9771  |     0.9609  |   0.9190  |               |              3.2230  |
|          |      9  |      0.9316  |     0.9863  |   0.9309  |               |              3.5419  |
|          |   eval  |      0.9316  |     0.9863  |   0.9309  |       0.9390  |              3.6911  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.4082  |     0.7031  |   0.6993  |               |              0.3854  |
|          |      1  |      1.2334  |     0.8369  |   0.7282  |               |              0.7637  |
|          |      2  |      1.2129  |     0.8340  |   0.7715  |               |              1.1413  |
|          |      3  |      1.1602  |     0.8594  |   0.8331  |               |              1.4885  |
|          |      4  |      1.1230  |     0.8828  |   0.8538  |               |              1.8357  |
|          |      5  |      1.1035  |     0.8867  |   0.8385  |               |              2.1830  |
|          |      6  |      1.0479  |     0.9150  |   0.8908  |               |              2.5297  |
|          |      7  |      1.0244  |     0.9346  |   0.8959  |               |              2.8767  |
|          |      8  |      0.9736  |     0.9639  |   0.9176  |               |              3.2236  |
|          |      9  |      0.9502  |     0.9727  |   0.9320  |               |              3.5427  |
|          |   eval  |      0.9502  |     0.9727  |   0.9320  |       0.9383  |              3.6920  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.4580  |     0.7168  |   0.6670  |               |              0.3851  |
