------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|       7  |      0  |      1.4648  |     0.6865  |   0.5920  |               |              0.3861  |
|          |      1  |      1.2471  |     0.8223  |   0.7536  |               |              0.7652  |
|          |      2  |      1.1992  |     0.8320  |   0.7889  |               |              1.1436  |
|          |      3  |      1.1533  |     0.8564  |   0.7779  |               |              1.4916  |
|          |      4  |      1.1309  |     0.8701  |   0.8292  |               |              1.8389  |
|          |      5  |      1.0859  |     0.8936  |   0.8713  |               |              2.1867  |
|          |      6  |      1.0439  |     0.9150  |   0.8866  |               |              2.5341  |
|          |      7  |      1.0195  |     0.9258  |   0.8964  |               |              2.8820  |
|          |      8  |      0.9727  |     0.9600  |   0.9281  |               |              3.2295  |
|          |      9  |      0.9292  |     0.9814  |   0.9328  |               |              3.5492  |
|          |   eval  |      0.9292  |     0.9814  |   0.9328  |       0.9399  |              3.6985  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4434  |     0.6934  |   0.6348  |               |              0.3859  |
|          |      1  |      1.2695  |     0.7842  |   0.7525  |               |              0.7648  |
|          |      2  |      1.1602  |     0.8633  |   0.7486  |               |              1.1433  |
|          |      3  |      1.1699  |     0.8486  |   0.7989  |               |              1.4912  |
|          |      4  |      1.1211  |     0.8857  |   0.8426  |               |              1.8387  |
|          |      5  |      1.0840  |     0.9004  |   0.8521  |               |              2.1864  |
|          |      6  |      1.0547  |     0.9043  |   0.8757  |               |              2.5337  |
|          |      7  |      1.0312  |     0.9277  |   0.8972  |               |              2.8815  |
|          |      8  |      0.9780  |     0.9570  |   0.9227  |               |              3.2288  |
|          |      9  |      0.9419  |     0.9775  |   0.9313  |               |              3.5484  |
|          |   eval  |      0.9419  |     0.9775  |   0.9313  |       0.9384  |              3.6976  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4473  |     0.6846  |   0.5244  |               |              0.3860  |
|          |      1  |      1.2520  |     0.8184  |   0.7719  |               |              0.7651  |
|          |      2  |      1.2012  |     0.8330  |   0.8290  |               |              1.1434  |
|          |      3  |      1.1582  |     0.8574  |   0.7861  |               |              1.4914  |
|          |      4  |      1.1162  |     0.8828  |   0.8531  |               |              1.8389  |
|          |      5  |      1.0957  |     0.9014  |   0.8760  |               |              2.1866  |
|          |      6  |      1.0488  |     0.9258  |   0.8841  |               |              2.5341  |
|          |      7  |      1.0234  |     0.9268  |   0.8953  |               |              2.8818  |
|          |      8  |      0.9727  |     0.9609  |   0.9210  |               |              3.2293  |
|          |      9  |      0.9399  |     0.9805  |   0.9325  |               |              3.5490  |
|          |   eval  |      0.9399  |     0.9805  |   0.9325  |       0.9419  |              3.6982  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.4248  |     0.7119  |   0.6771  |               |              0.3859  |
|          |      1  |      1.3486  |     0.7607  |   0.6194  |               |              0.7648  |
|          |      2  |      1.1797  |     0.8633  |   0.8139  |               |              1.1432  |
|          |      3  |      1.1992  |     0.8359  |   0.8023  |               |              1.4913  |
|          |      4  |      1.1299  |     0.8789  |   0.8496  |               |              1.8387  |
|          |      5  |      1.0898  |     0.8926  |   0.8697  |               |              2.1865  |
|          |      6  |      1.0459  |     0.9180  |   0.8858  |               |              2.5338  |
|          |      7  |      1.0410  |     0.9189  |   0.9058  |               |              2.8815  |
|          |      8  |      0.9819  |     0.9570  |   0.9242  |               |              3.2290  |
|          |      9  |      0.9478  |     0.9766  |   0.9360  |               |              3.5486  |
|          |   eval  |      0.9478  |     0.9766  |   0.9360  |       0.9418  |              3.6979  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.4238  |     0.7100  |   0.6364  |               |              0.3861  |
|          |      1  |      1.2500  |     0.8105  |   0.7476  |               |              0.7653  |
|          |      2  |      1.1641  |     0.8594  |   0.8258  |               |              1.1436  |
|          |      3  |      1.1621  |     0.8643  |   0.8220  |               |              1.4916  |
|          |      4  |      1.1270  |     0.8770  |   0.8374  |               |              1.8390  |
|          |      5  |      1.0938  |     0.9004  |   0.8382  |               |              2.1869  |
|          |      6  |      1.0449  |     0.9199  |   0.8732  |               |              2.5344  |
|          |      7  |      1.0400  |     0.9238  |   0.9020  |               |              2.8822  |
|          |      8  |      0.9873  |     0.9521  |   0.9227  |               |              3.2297  |
|          |      9  |      0.9409  |     0.9775  |   0.9345  |               |              3.5494  |
|          |   eval  |      0.9409  |     0.9775  |   0.9345  |       0.9397  |              3.6986  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.3965  |     0.7383  |   0.6653  |               |              0.3861  |
|          |      1  |      1.2500  |     0.8086  |   0.7711  |               |              0.7651  |
|          |      2  |      1.1836  |     0.8584  |   0.8216  |               |              1.1434  |
|          |      3  |      1.1650  |     0.8564  |   0.8146  |               |              1.4915  |
|          |      4  |      1.1201  |     0.8779  |   0.7874  |               |              1.8388  |
|          |      5  |      1.0771  |     0.9082  |   0.8686  |               |              2.1865  |
|          |      6  |      1.0371  |     0.9277  |   0.8951  |               |              2.5340  |
|          |      7  |      1.0264  |     0.9229  |   0.9054  |               |              2.8817  |
|          |      8  |      0.9727  |     0.9609  |   0.9233  |               |              3.2291  |
|          |      9  |      0.9375  |     0.9805  |   0.9310  |               |              3.5488  |
|          |   eval  |      0.9375  |     0.9805  |   0.9310  |       0.9403  |              3.6980  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.4092  |     0.7197  |   0.6344  |               |              0.3861  |
|          |      1  |      1.2773  |     0.7998  |   0.7676  |               |              0.7651  |
|          |      2  |      1.2041  |     0.8408  |   0.7971  |               |              1.1433  |
|          |      3  |      1.1611  |     0.8584  |   0.8606  |               |              1.4914  |
|          |      4  |      1.1182  |     0.8838  |   0.8308  |               |              1.8388  |
|          |      5  |      1.0977  |     0.8916  |   0.8734  |               |              2.1867  |
|          |      6  |      1.0469  |     0.9121  |   0.8672  |               |              2.5342  |
|          |      7  |      1.0449  |     0.9189  |   0.8814  |               |              2.8820  |
|          |      8  |      0.9663  |     0.9678  |   0.9233  |               |              3.2294  |
|          |      9  |      0.9385  |     0.9766  |   0.9328  |               |              3.5490  |
|          |   eval  |      0.9385  |     0.9766  |   0.9328  |       0.9404  |              3.6982  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.4062  |     0.7217  |   0.6524  |               |              0.3859  |
|          |      1  |      1.3135  |     0.7881  |   0.6064  |               |              0.7649  |
|          |      2  |      1.1719  |     0.8633  |   0.7702  |               |              1.1433  |
|          |      3  |      1.1484  |     0.8633  |   0.7828  |               |              1.4913  |
|          |      4  |      1.1494  |     0.8555  |   0.8490  |               |              1.8386  |
|          |      5  |      1.1123  |     0.8818  |   0.8314  |               |              2.1865  |
|          |      6  |      1.0410  |     0.9277  |   0.8625  |               |              2.5340  |
|          |      7  |      0.9985  |     0.9492  |   0.9112  |               |              2.8818  |
|          |      8  |      0.9727  |     0.9541  |   0.9206  |               |              3.2292  |
|          |      9  |      0.9351  |     0.9805  |   0.9343  |               |              3.5489  |
|          |   eval  |      0.9351  |     0.9805  |   0.9343  |       0.9432  |              3.6981  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.4189  |     0.7246  |   0.6735  |               |              0.3861  |
|          |      1  |      1.2520  |     0.8037  |   0.6447  |               |              0.7652  |
|          |      2  |      1.1934  |     0.8457  |   0.7131  |               |              1.1435  |
|          |      3  |      1.1631  |     0.8525  |   0.8513  |               |              1.4914  |
|          |      4  |      1.1270  |     0.8740  |   0.8383  |               |              1.8387  |
|          |      5  |      1.0723  |     0.9092  |   0.8533  |               |              2.1865  |
|          |      6  |      1.0518  |     0.9160  |   0.8603  |               |              2.5338  |
|          |      7  |      1.0117  |     0.9404  |   0.9036  |               |              2.8816  |
|          |      8  |      0.9741  |     0.9570  |   0.9203  |               |              3.2289  |
|          |      9  |      0.9458  |     0.9746  |   0.9326  |               |              3.5485  |
|          |   eval  |      0.9458  |     0.9746  |   0.9326  |       0.9397  |              3.6977  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.4775  |     0.6729  |   0.6377  |               |              0.3859  |
|          |      1  |      1.2227  |     0.8428  |   0.7527  |               |              0.7648  |
