------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4082  |     0.7207  |   0.5759  |               |              7.3107  |
|          |      1  |      1.2500  |     0.7979  |   0.7386  |               |              7.7144  |
|          |      2  |      1.2334  |     0.8145  |   0.6980  |               |              8.0920  |
|          |      3  |      1.1602  |     0.8506  |   0.7936  |               |              8.4391  |
|          |      4  |      1.1123  |     0.8955  |   0.8519  |               |              8.7856  |
|          |      5  |      1.0918  |     0.8965  |   0.8649  |               |              9.1324  |
|          |      6  |      1.0479  |     0.9180  |   0.8871  |               |              9.4790  |
|          |      7  |      1.0127  |     0.9385  |   0.9054  |               |              9.8259  |
|          |      8  |      0.9731  |     0.9619  |   0.9272  |               |             10.1724  |
|          |      9  |      0.9473  |     0.9746  |   0.9308  |               |             10.4911  |
|          |   eval  |      0.9473  |     0.9746  |   0.9308  |       0.9388  |             10.6403  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4395  |     0.7061  |   0.6038  |               |              0.3856  |
|          |      1  |      1.2598  |     0.8115  |   0.6759  |               |              0.7638  |
|          |      2  |      1.2139  |     0.8252  |   0.7611  |               |              1.1413  |
|          |      3  |      1.1357  |     0.8760  |   0.8512  |               |              1.4887  |
|          |      4  |      1.1221  |     0.8809  |   0.8685  |               |              1.8358  |
|          |      5  |      1.0889  |     0.8984  |   0.8750  |               |              2.1834  |
|          |      6  |      1.0566  |     0.9111  |   0.8694  |               |              2.5303  |
|          |      7  |      1.0264  |     0.9355  |   0.9017  |               |              2.8777  |
|          |      8  |      0.9688  |     0.9629  |   0.9216  |               |              3.2248  |
|          |      9  |      0.9360  |     0.9834  |   0.9332  |               |              3.5439  |
|          |   eval  |      0.9360  |     0.9834  |   0.9332  |       0.9402  |              3.6935  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.3877  |     0.7402  |   0.6932  |               |              0.3857  |
|          |      1  |      1.2803  |     0.8105  |   0.7606  |               |              0.7639  |
|          |      2  |      1.2148  |     0.8242  |   0.6836  |               |              1.1415  |
|          |      3  |      1.1680  |     0.8545  |   0.7528  |               |              1.4890  |
|          |      4  |      1.1377  |     0.8691  |   0.8592  |               |              1.8359  |
|          |      5  |      1.1016  |     0.8936  |   0.8555  |               |              2.1830  |
|          |      6  |      1.0527  |     0.9229  |   0.8852  |               |              2.5301  |
|          |      7  |      1.0166  |     0.9395  |   0.9006  |               |              2.8776  |
|          |      8  |      0.9697  |     0.9531  |   0.9219  |               |              3.2245  |
|          |      9  |      0.9409  |     0.9844  |   0.9332  |               |              3.5435  |
|          |   eval  |      0.9409  |     0.9844  |   0.9332  |       0.9406  |              3.6929  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.3965  |     0.7393  |   0.6803  |               |              0.3853  |
|          |      1  |      1.2617  |     0.8203  |   0.6448  |               |              0.7636  |
|          |      2  |      1.1992  |     0.8242  |   0.7739  |               |              1.1410  |
|          |      3  |      1.1982  |     0.8447  |   0.8343  |               |              1.4884  |
|          |      4  |      1.1748  |     0.8359  |   0.8471  |               |              1.8354  |
|          |      5  |      1.0859  |     0.8936  |   0.8590  |               |              2.1828  |
|          |      6  |      1.0332  |     0.9238  |   0.8858  |               |              2.5296  |
|          |      7  |      1.0039  |     0.9453  |   0.8999  |               |              2.8771  |
|          |      8  |      0.9683  |     0.9541  |   0.9161  |               |              3.2240  |
|          |      9  |      0.9409  |     0.9795  |   0.9325  |               |              3.5432  |
|          |   eval  |      0.9409  |     0.9795  |   0.9325  |       0.9405  |              3.6925  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4150  |     0.7246  |   0.6769  |               |              0.3853  |
|          |      1  |      1.2188  |     0.8389  |   0.7714  |               |              0.7634  |
|          |      2  |      1.2207  |     0.8262  |   0.8087  |               |              1.1409  |
|          |      3  |      1.1836  |     0.8428  |   0.7588  |               |              1.4886  |
|          |      4  |      1.1494  |     0.8564  |   0.8476  |               |              1.8356  |
|          |      5  |      1.0635  |     0.9111  |   0.8635  |               |              2.1828  |
|          |      6  |      1.0352  |     0.9268  |   0.8969  |               |              2.5299  |
|          |      7  |      1.0264  |     0.9219  |   0.8755  |               |              2.8772  |
|          |      8  |      0.9712  |     0.9619  |   0.9260  |               |              3.2241  |
|          |      9  |      0.9385  |     0.9795  |   0.9324  |               |              3.5431  |
|          |   eval  |      0.9385  |     0.9795  |   0.9324  |       0.9392  |              3.6925  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4307  |     0.7129  |   0.7103  |               |              0.3853  |
|          |      1  |      1.2793  |     0.8047  |   0.7485  |               |              0.7636  |
|          |      2  |      1.1914  |     0.8545  |   0.7862  |               |              1.1410  |
|          |      3  |      1.1621  |     0.8613  |   0.8169  |               |              1.4883  |
|          |      4  |      1.1143  |     0.8877  |   0.8410  |               |              1.8355  |
|          |      5  |      1.1113  |     0.8887  |   0.8706  |               |              2.1829  |
|          |      6  |      1.0498  |     0.9082  |   0.8864  |               |              2.5297  |
|          |      7  |      1.0186  |     0.9346  |   0.8951  |               |              2.8770  |
|          |      8  |      0.9741  |     0.9619  |   0.9281  |               |              3.2240  |
|          |      9  |      0.9385  |     0.9766  |   0.9357  |               |              3.5432  |
|          |   eval  |      0.9385  |     0.9766  |   0.9357  |       0.9423  |              3.6926  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.4023  |     0.7266  |   0.6925  |               |              0.3854  |
|          |      1  |      1.2344  |     0.8193  |   0.7091  |               |              0.7635  |
|          |      2  |      1.2139  |     0.8232  |   0.7493  |               |              1.1411  |
|          |      3  |      1.1416  |     0.8613  |   0.8415  |               |              1.4886  |
|          |      4  |      1.1416  |     0.8691  |   0.8531  |               |              1.8359  |
|          |      5  |      1.0918  |     0.8965  |   0.8340  |               |              2.1831  |
|          |      6  |      1.0342  |     0.9199  |   0.8937  |               |              2.5301  |
|          |      7  |      1.0225  |     0.9336  |   0.9043  |               |              2.8776  |
|          |      8  |      0.9624  |     0.9658  |   0.9230  |               |              3.2245  |
|          |      9  |      0.9517  |     0.9707  |   0.9342  |               |              3.5441  |
|          |   eval  |      0.9517  |     0.9707  |   0.9342  |       0.9396  |              3.6935  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.4316  |     0.7168  |   0.6273  |               |              0.3851  |
|          |      1  |      1.2637  |     0.7979  |   0.7619  |               |              0.7634  |
|          |      2  |      1.1865  |     0.8486  |   0.7387  |               |              1.1409  |
|          |      3  |      1.1406  |     0.8779  |   0.8097  |               |              1.4885  |
|          |      4  |      1.1279  |     0.8730  |   0.8627  |               |              1.8356  |
|          |      5  |      1.0723  |     0.9121  |   0.8650  |               |              2.1831  |
|          |      6  |      1.0430  |     0.9287  |   0.8830  |               |              2.5302  |
|          |      7  |      1.0322  |     0.9180  |   0.8946  |               |              2.8776  |
|          |      8  |      0.9771  |     0.9580  |   0.9267  |               |              3.2246  |
|          |      9  |      0.9399  |     0.9785  |   0.9357  |               |              3.5439  |
|          |   eval  |      0.9399  |     0.9785  |   0.9357  |       0.9390  |              3.6933  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4736  |     0.6963  |   0.6653  |               |              0.3851  |
|          |      1  |      1.2490  |     0.8203  |   0.7966  |               |              0.7633  |
|          |      2  |      1.2012  |     0.8398  |   0.7573  |               |              1.1409  |
|          |      3  |      1.1670  |     0.8477  |   0.8306  |               |              1.4884  |
|          |      4  |      1.1455  |     0.8682  |   0.8477  |               |              1.8353  |
|          |      5  |      1.0771  |     0.9062  |   0.8678  |               |              2.1827  |
|          |      6  |      1.0566  |     0.9121  |   0.8716  |               |              2.5297  |
|          |      7  |      1.0322  |     0.9170  |   0.8908  |               |              2.8771  |
|          |      8  |      0.9697  |     0.9639  |   0.9257  |               |              3.2241  |
|          |      9  |      0.9443  |     0.9756  |   0.9338  |               |              3.5433  |
|          |   eval  |      0.9443  |     0.9756  |   0.9338  |       0.9414  |              3.6927  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4697  |     0.6826  |   0.7004  |               |              0.3852  |
|          |      1  |      1.2793  |     0.7969  |   0.7177  |               |              0.7635  |
|          |      2  |      1.2129  |     0.8271  |   0.6548  |               |              1.1409  |
|          |      3  |      1.1533  |     0.8633  |   0.8154  |               |              1.4883  |
|          |      4  |      1.1084  |     0.8857  |   0.8613  |               |              1.8354  |
|          |      5  |      1.0869  |     0.8965  |   0.8698  |               |              2.1828  |
|          |      6  |      1.0723  |     0.9092  |   0.8965  |               |              2.5299  |
|          |      7  |      1.0312  |     0.9219  |   0.9000  |               |              2.8771  |
