------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4297  |     0.7246  |   0.6380  |               |              7.2801  |
|          |      1  |      1.2705  |     0.7979  |   0.7258  |               |              7.6877  |
|          |      2  |      1.2021  |     0.8350  |   0.7595  |               |              8.0660  |
|          |      3  |      1.1475  |     0.8613  |   0.7910  |               |              8.4136  |
|          |      4  |      1.1113  |     0.8789  |   0.8684  |               |              8.7608  |
|          |      5  |      1.0859  |     0.8926  |   0.8591  |               |              9.1079  |
|          |      6  |      1.0420  |     0.9170  |   0.8963  |               |              9.4549  |
|          |      7  |      1.0049  |     0.9443  |   0.8967  |               |              9.8023  |
|          |      8  |      0.9546  |     0.9727  |   0.9193  |               |             10.1494  |
|          |      9  |      0.9316  |     0.9902  |   0.9329  |               |             10.4684  |
|          |   eval  |      0.9316  |     0.9902  |   0.9329  |       0.9403  |             10.6174  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4355  |     0.6914  |   0.5954  |               |              0.3858  |
|          |      1  |      1.2871  |     0.7979  |   0.6146  |               |              0.7645  |
|          |      2  |      1.2090  |     0.8369  |   0.7710  |               |              1.1423  |
|          |      3  |      1.1592  |     0.8662  |   0.8034  |               |              1.4900  |
|          |      4  |      1.1152  |     0.8926  |   0.8458  |               |              1.8372  |
|          |      5  |      1.1191  |     0.8779  |   0.8687  |               |              2.1848  |
|          |      6  |      1.0400  |     0.9209  |   0.8772  |               |              2.5320  |
|          |      7  |      1.0322  |     0.9238  |   0.8986  |               |              2.8795  |
|          |      8  |      0.9683  |     0.9551  |   0.9209  |               |              3.2267  |
|          |      9  |      0.9434  |     0.9766  |   0.9298  |               |              3.5460  |
|          |   eval  |      0.9434  |     0.9766  |   0.9298  |       0.9396  |              3.6951  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4209  |     0.7256  |   0.6424  |               |              0.3856  |
|          |      1  |      1.3037  |     0.7959  |   0.6464  |               |              0.7642  |
|          |      2  |      1.2197  |     0.8174  |   0.7729  |               |              1.1421  |
|          |      3  |      1.1445  |     0.8662  |   0.7906  |               |              1.4898  |
|          |      4  |      1.1162  |     0.8799  |   0.8659  |               |              1.8370  |
|          |      5  |      1.0820  |     0.9014  |   0.8733  |               |              2.1844  |
|          |      6  |      1.0234  |     0.9463  |   0.8780  |               |              2.5315  |
|          |      7  |      1.0332  |     0.9268  |   0.8978  |               |              2.8789  |
