------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|       7  |      0  |      1.4434  |     0.6895  |   0.6243  |               |              0.3866  |
|          |      1  |      1.2285  |     0.8291  |   0.7012  |               |              0.7662  |
|          |      2  |      1.2256  |     0.8271  |   0.6545  |               |              1.1450  |
|          |      3  |      1.1572  |     0.8594  |   0.8534  |               |              1.4933  |
|          |      4  |      1.1357  |     0.8633  |   0.8356  |               |              1.8411  |
|          |      5  |      1.0898  |     0.8857  |   0.8755  |               |              2.1893  |
|          |      6  |      1.0371  |     0.9238  |   0.8848  |               |              2.5371  |
|          |      7  |      1.0098  |     0.9414  |   0.9077  |               |              2.8852  |
|          |      8  |      0.9771  |     0.9658  |   0.9197  |               |              3.2331  |
|          |      9  |      0.9419  |     0.9746  |   0.9342  |               |              3.5531  |
|          |   eval  |      0.9419  |     0.9746  |   0.9342  |       0.9417  |              3.7024  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4971  |     0.6592  |   0.6193  |               |              0.3864  |
|          |      1  |      1.2529  |     0.8193  |   0.7842  |               |              0.7659  |
|          |      2  |      1.2197  |     0.8271  |   0.8138  |               |              1.1448  |
|          |      3  |      1.1426  |     0.8721  |   0.8063  |               |              1.4934  |
|          |      4  |      1.1348  |     0.8691  |   0.8514  |               |              1.8413  |
|          |      5  |      1.1387  |     0.8623  |   0.8437  |               |              2.1895  |
|          |      6  |      1.0547  |     0.9141  |   0.8774  |               |              2.5372  |
|          |      7  |      1.0156  |     0.9346  |   0.8945  |               |              2.8856  |
|          |      8  |      0.9668  |     0.9639  |   0.9235  |               |              3.2334  |
|          |      9  |      0.9409  |     0.9785  |   0.9296  |               |              3.5533  |
|          |   eval  |      0.9409  |     0.9785  |   0.9296  |       0.9390  |              3.7025  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4844  |     0.6514  |   0.7129  |               |              0.3865  |
|          |      1  |      1.2490  |     0.7988  |   0.7690  |               |              0.7661  |
|          |      2  |      1.1885  |     0.8545  |   0.7708  |               |              1.1448  |
|          |      3  |      1.1533  |     0.8652  |   0.8325  |               |              1.4932  |
|          |      4  |      1.1455  |     0.8604  |   0.8642  |               |              1.8409  |
|          |      5  |      1.0918  |     0.9004  |   0.8479  |               |              2.1889  |
|          |      6  |      1.0332  |     0.9258  |   0.8897  |               |              2.5366  |
|          |      7  |      1.0264  |     0.9277  |   0.9003  |               |              2.8846  |
|          |      8  |      0.9863  |     0.9521  |   0.9266  |               |              3.2325  |
|          |      9  |      0.9424  |     0.9756  |   0.9327  |               |              3.5524  |
|          |   eval  |      0.9424  |     0.9756  |   0.9327  |       0.9399  |              3.7016  |
------------------------------------------------------------------------------------------------------
