------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4277  |     0.7080  |   0.7064  |               |              7.3074  |
|          |      1  |      1.2666  |     0.8027  |   0.7582  |               |              7.6868  |
|          |      2  |      1.1904  |     0.8447  |   0.8011  |               |              8.0646  |
|          |      3  |      1.1572  |     0.8604  |   0.7829  |               |              8.4121  |
|          |      4  |      1.1143  |     0.8770  |   0.8352  |               |              8.7590  |
|          |      5  |      1.0840  |     0.8975  |   0.8401  |               |              9.1061  |
|          |      6  |      1.0430  |     0.9189  |   0.8946  |               |              9.4532  |
|          |      7  |      1.0312  |     0.9287  |   0.9047  |               |              9.8004  |
|          |      8  |      0.9814  |     0.9482  |   0.9260  |               |             10.1473  |
|          |      9  |      0.9390  |     0.9785  |   0.9340  |               |             10.4663  |
|          |   eval  |      0.9390  |     0.9785  |   0.9340  |       0.9409  |             10.6154  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.3916  |     0.7344  |   0.6207  |               |              0.3857  |
|          |      1  |      1.2734  |     0.8027  |   0.6639  |               |              0.7645  |
|          |      2  |      1.1963  |     0.8340  |   0.8013  |               |              1.1423  |
|          |      3  |      1.1572  |     0.8574  |   0.8337  |               |              1.4901  |
|          |      4  |      1.1436  |     0.8574  |   0.8383  |               |              1.8374  |
|          |      5  |      1.0840  |     0.9072  |   0.8612  |               |              2.1851  |
|          |      6  |      1.0459  |     0.9160  |   0.8828  |               |              2.5323  |
|          |      7  |      1.0225  |     0.9316  |   0.9085  |               |              2.8800  |
|          |      8  |      0.9795  |     0.9541  |   0.9205  |               |              3.2272  |
|          |      9  |      0.9556  |     0.9727  |   0.9336  |               |              3.5467  |
|          |   eval  |      0.9556  |     0.9727  |   0.9336  |       0.9407  |              3.6959  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4375  |     0.6992  |   0.6907  |               |              0.3855  |
|          |      1  |      1.2764  |     0.7969  |   0.6546  |               |              0.7641  |
|          |      2  |      1.1641  |     0.8516  |   0.8392  |               |              1.1421  |
|          |      3  |      1.1465  |     0.8652  |   0.8445  |               |              1.4900  |
|          |      4  |      1.1172  |     0.8779  |   0.8605  |               |              1.8372  |
|          |      5  |      1.0840  |     0.9004  |   0.8391  |               |              2.1848  |
|          |      6  |      1.0371  |     0.9121  |   0.8631  |               |              2.5320  |
|          |      7  |      1.0088  |     0.9463  |   0.8989  |               |              2.8796  |
|          |      8  |      0.9761  |     0.9561  |   0.9216  |               |              3.2268  |
|          |      9  |      0.9390  |     0.9775  |   0.9318  |               |              3.5462  |
|          |   eval  |      0.9390  |     0.9775  |   0.9318  |       0.9408  |              3.6954  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4258  |     0.7217  |   0.6954  |               |              0.3857  |
|          |      1  |      1.2949  |     0.7910  |   0.7513  |               |              0.7645  |
|          |      2  |      1.2080  |     0.8350  |   0.7846  |               |              1.1424  |
|          |      3  |      1.1689  |     0.8525  |   0.7548  |               |              1.4901  |
|          |      4  |      1.1309  |     0.8682  |   0.8339  |               |              1.8373  |
|          |      5  |      1.0879  |     0.8887  |   0.8551  |               |              2.1851  |
|          |      6  |      1.0400  |     0.9258  |   0.8937  |               |              2.5323  |
|          |      7  |      1.0215  |     0.9395  |   0.9045  |               |              2.8799  |
|          |      8  |      0.9805  |     0.9570  |   0.9194  |               |              3.2271  |
|          |      9  |      0.9536  |     0.9717  |   0.9327  |               |              3.5466  |
|          |   eval  |      0.9536  |     0.9717  |   0.9327  |       0.9405  |              3.6957  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.3965  |     0.7256  |   0.6659  |               |              0.3855  |
|          |      1  |      1.2607  |     0.8096  |   0.7258  |               |              0.7641  |
|          |      2  |      1.1934  |     0.8301  |   0.7910  |               |              1.1422  |
|          |      3  |      1.1592  |     0.8525  |   0.7605  |               |              1.4900  |
|          |      4  |      1.1270  |     0.8770  |   0.8573  |               |              1.8372  |
|          |      5  |      1.1113  |     0.8848  |   0.8692  |               |              2.1848  |
|          |      6  |      1.0488  |     0.9219  |   0.8900  |               |              2.5320  |
|          |      7  |      1.0410  |     0.9287  |   0.8839  |               |              2.8797  |
|          |      8  |      0.9800  |     0.9570  |   0.9235  |               |              3.2270  |
|          |      9  |      0.9473  |     0.9775  |   0.9348  |               |              3.5464  |
|          |   eval  |      0.9473  |     0.9775  |   0.9348  |       0.9404  |              3.6956  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4199  |     0.7012  |   0.7094  |               |              0.3857  |
|          |      1  |      1.2529  |     0.7979  |   0.7434  |               |              0.7647  |
|          |      2  |      1.2041  |     0.8457  |   0.7460  |               |              1.1426  |
|          |      3  |      1.1953  |     0.8369  |   0.6902  |               |              1.4905  |
|          |      4  |      1.1494  |     0.8516  |   0.8374  |               |              1.8377  |
|          |      5  |      1.0762  |     0.8994  |   0.8773  |               |              2.1853  |
|          |      6  |      1.0527  |     0.9131  |   0.8885  |               |              2.5325  |
|          |      7  |      1.0166  |     0.9326  |   0.9068  |               |              2.8801  |
|          |      8  |      0.9614  |     0.9609  |   0.9215  |               |              3.2273  |
|          |      9  |      0.9365  |     0.9834  |   0.9342  |               |              3.5469  |
|          |   eval  |      0.9365  |     0.9834  |   0.9342  |       0.9409  |              3.6961  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.4346  |     0.6904  |   0.6816  |               |              0.3855  |
|          |      1  |      1.2803  |     0.7891  |   0.7108  |               |              0.7641  |
