------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|       7  |      0  |      1.4258  |     0.7217  |   0.7186  |               |              0.3852  |
|          |      1  |      1.2598  |     0.8047  |   0.7733  |               |              0.7637  |
|          |      2  |      1.2344  |     0.8066  |   0.7380  |               |              1.1412  |
|          |      3  |      1.1309  |     0.8760  |   0.8060  |               |              1.4889  |
|          |      4  |      1.1445  |     0.8643  |   0.8589  |               |              1.8359  |
|          |      5  |      1.1016  |     0.8965  |   0.8587  |               |              2.1835  |
|          |      6  |      1.0410  |     0.9209  |   0.8731  |               |              2.5307  |
|          |      7  |      1.0391  |     0.9131  |   0.8932  |               |              2.8780  |
|          |      8  |      0.9702  |     0.9531  |   0.9249  |               |              3.2251  |
|          |      9  |      0.9448  |     0.9756  |   0.9337  |               |              3.5444  |
|          |   eval  |      0.9448  |     0.9756  |   0.9337  |       0.9411  |              3.6935  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4648  |     0.6816  |   0.6461  |               |              0.3853  |
|          |      1  |      1.2285  |     0.8252  |   0.7762  |               |              0.7636  |
|          |      2  |      1.1836  |     0.8506  |   0.8130  |               |              1.1413  |
|          |      3  |      1.1465  |     0.8740  |   0.6565  |               |              1.4890  |
|          |      4  |      1.1348  |     0.8770  |   0.8684  |               |              1.8361  |
|          |      5  |      1.1035  |     0.8955  |   0.8848  |               |              2.1836  |
|          |      6  |      1.0391  |     0.9180  |   0.8943  |               |              2.5306  |
|          |      7  |      1.0322  |     0.9258  |   0.8963  |               |              2.8781  |
|          |      8  |      0.9648  |     0.9668  |   0.9234  |               |              3.2251  |
|          |      9  |      0.9468  |     0.9727  |   0.9327  |               |              3.5443  |
|          |   eval  |      0.9468  |     0.9727  |   0.9327  |       0.9403  |              3.6935  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4619  |     0.6855  |   0.6849  |               |              0.3852  |
|          |      1  |      1.2432  |     0.8301  |   0.7599  |               |              0.7634  |
|          |      2  |      1.1846  |     0.8477  |   0.6692  |               |              1.1409  |
|          |      3  |      1.1592  |     0.8623  |   0.8094  |               |              1.4889  |
|          |      4  |      1.1055  |     0.8867  |   0.8565  |               |              1.8360  |
