------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|       7  |      0  |      1.4404  |     0.6943  |   0.6337  |               |              0.3854  |
|          |      1  |      1.2412  |     0.8164  |   0.7244  |               |              0.7638  |
|          |      2  |      1.1670  |     0.8584  |   0.8042  |               |              1.1414  |
|          |      3  |      1.1895  |     0.8428  |   0.7795  |               |              1.4885  |
|          |      4  |      1.1270  |     0.8779  |   0.8555  |               |              1.8353  |
|          |      5  |      1.0791  |     0.9023  |   0.8743  |               |              2.1825  |
|          |      6  |      1.0547  |     0.9111  |   0.8878  |               |              2.5291  |
|          |      7  |      1.0186  |     0.9404  |   0.9072  |               |              2.8761  |
|          |      8  |      0.9683  |     0.9648  |   0.9193  |               |              3.2232  |
|          |      9  |      0.9321  |     0.9795  |   0.9346  |               |              3.5424  |
|          |   eval  |      0.9321  |     0.9795  |   0.9346  |       0.9410  |              3.6917  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4199  |     0.7139  |   0.6222  |               |              0.3855  |
|          |      1  |      1.2578  |     0.8018  |   0.6717  |               |              0.7637  |
|          |      2  |      1.2061  |     0.8359  |   0.8156  |               |              1.1414  |
|          |      3  |      1.1445  |     0.8633  |   0.8031  |               |              1.4887  |
|          |      4  |      1.1152  |     0.8848  |   0.8614  |               |              1.8353  |
|          |      5  |      1.0830  |     0.9014  |   0.8634  |               |              2.1823  |
|          |      6  |      1.0293  |     0.9316  |   0.8891  |               |              2.5289  |
|          |      7  |      1.0215  |     0.9316  |   0.9057  |               |              2.8760  |
|          |      8  |      0.9751  |     0.9668  |   0.9130  |               |              3.2226  |
|          |      9  |      0.9316  |     0.9814  |   0.9306  |               |              3.5414  |
|          |   eval  |      0.9316  |     0.9814  |   0.9306  |       0.9389  |              3.6905  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4150  |     0.7168  |   0.6940  |               |              0.3854  |
|          |      1  |      1.2197  |     0.8428  |   0.7814  |               |              0.7637  |
|          |      2  |      1.1973  |     0.8350  |   0.8083  |               |              1.1412  |
|          |      3  |      1.1562  |     0.8613  |   0.8311  |               |              1.4884  |
|          |      4  |      1.1465  |     0.8662  |   0.8516  |               |              1.8352  |
|          |      5  |      1.0967  |     0.8867  |   0.8371  |               |              2.1822  |
