------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|       7  |      0  |      1.3965  |     0.7285  |   0.6694  |               |              0.3868  |
|          |      1  |      1.2256  |     0.8418  |   0.7131  |               |              0.7667  |
|          |      2  |      1.2510  |     0.8037  |   0.7104  |               |              1.1455  |
|          |      3  |      1.1523  |     0.8613  |   0.8417  |               |              1.4941  |
|          |      4  |      1.1279  |     0.8711  |   0.8282  |               |              1.8423  |
|          |      5  |      1.0898  |     0.8975  |   0.8723  |               |              2.1909  |
|          |      6  |      1.0381  |     0.9248  |   0.8817  |               |              2.5388  |
|          |      7  |      1.0293  |     0.9297  |   0.9028  |               |              2.8873  |
|          |      8  |      0.9634  |     0.9600  |   0.9211  |               |              3.2354  |
|          |      9  |      0.9492  |     0.9717  |   0.9308  |               |              3.5557  |
|          |   eval  |      0.9492  |     0.9717  |   0.9308  |       0.9395  |              3.7054  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4385  |     0.7100  |   0.7073  |               |              0.3866  |
|          |      1  |      1.2617  |     0.8057  |   0.7552  |               |              0.7663  |
|          |      2  |      1.2607  |     0.8066  |   0.7456  |               |              1.1454  |
|          |      3  |      1.1680  |     0.8672  |   0.8265  |               |              1.4941  |
|          |      4  |      1.1133  |     0.8975  |   0.8078  |               |              1.8420  |
|          |      5  |      1.0811  |     0.9014  |   0.8661  |               |              2.1904  |
|          |      6  |      1.0508  |     0.9219  |   0.8903  |               |              2.5386  |
|          |      7  |      1.0312  |     0.9219  |   0.9052  |               |              2.8871  |
|          |      8  |      0.9854  |     0.9512  |   0.9239  |               |              3.2349  |
|          |      9  |      0.9385  |     0.9795  |   0.9307  |               |              3.5551  |
|          |   eval  |      0.9385  |     0.9795  |   0.9307  |       0.9376  |              3.7049  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4424  |     0.6973  |   0.6660  |               |              0.3871  |
|          |      1  |      1.2900  |     0.7969  |   0.6495  |               |              0.7670  |
|          |      2  |      1.2080  |     0.8311  |   0.7842  |               |              1.1459  |
|          |      3  |      1.1533  |     0.8633  |   0.8156  |               |              1.4944  |
|          |      4  |      1.1211  |     0.8779  |   0.8735  |               |              1.8424  |
|          |      5  |      1.1006  |     0.8867  |   0.8535  |               |              2.1909  |
|          |      6  |      1.0479  |     0.9170  |   0.8997  |               |              2.5388  |
|          |      7  |      1.0254  |     0.9268  |   0.9017  |               |              2.8871  |
|          |      8  |      0.9604  |     0.9648  |   0.9223  |               |              3.2353  |
|          |      9  |      0.9399  |     0.9785  |   0.9329  |               |              3.5556  |
|          |   eval  |      0.9399  |     0.9785  |   0.9329  |       0.9419  |              3.7053  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.4082  |     0.7168  |   0.6997  |               |              0.3866  |
|          |      1  |      1.2646  |     0.8008  |   0.7243  |               |              0.7663  |
|          |      2  |      1.2109  |     0.8242  |   0.8281  |               |              1.1454  |
|          |      3  |      1.2080  |     0.8379  |   0.7463  |               |              1.4940  |
